customer_id,age,gender,pref
C0276,52,M,Saitama
C0277,36,F,Chiba
C0278,54,F,Chiba
C0279,27,F,Saitama
C0280,34,M,Kanagawa
C0281,20,M,Tokyo
C0282,26,F,Osaka
C0283,20,F,Aichi
C0284,42,M,Saitama
C0285,21,M,Osaka
C0286,30,F,Saitama
C0287,43,M,Kanagawa
C0288,53,M,Chiba
C0289,19,M,Tokyo
C0290,55,M,Aichi
C0291,44,M,Aichi
C0292,18,F,Aichi
C0293,23,F,Saitama
C0294,67,M,Aichi
C0295,41,M,Saitama
C0296,66,F,Saitama
C0297,44,F,Kanagawa
C0298,24,F,Osaka
C0299,55,F,Tokyo
C0300,42,F,Osaka
